tempo_us,num_vertices
104,10
132,10
114,10
93,10
93,10
262,25
254,25
168,25
192,25
229,25
705,50
550,50
577,50
615,50
583,50
1269,75
1596,75
1255,75
1248,75
1376,75
2134,100
2408,100
2164,100
2103,100
2242,100
4660,150
4648,150
5332,150
5599,150
4722,150
11300,200
10057,200
10084,200
9917,200
9151,200
14329,250
14779,250
14594,250
15170,250
15468,250
20900,300
22419,300
20091,300
20206,300
20193,300
36011,400
36279,400
35697,400
35241,400
20176,400
29413,500
29635,500
29226,500
30282,500
28771,500
54985,650
55477,650
54772,650
55170,650
56059,650
81443,800
82552,800
81620,800
82118,800
81645,800
127351,1000
128330,1000
127151,1000
127740,1000
127947,1000
289237,1500
286864,1500
282602,1500
286323,1500
288367,1500
