tempo_us,num_vertices
64,10
85,10
69,10
63,10
75,10
220,25
182,25
180,25
218,25
234,25
359,50
307,50
351,50
306,50
332,50
508,75
549,75
555,75
557,75
584,75
867,100
860,100
923,100
866,100
945,100
1545,150
1575,150
1507,150
1657,150
1665,150
2514,200
2462,200
2471,200
2441,200
2474,200
3579,250
3656,250
3607,250
3613,250
3623,250
5302,300
5358,300
5126,300
5035,300
5029,300
8263,400
8692,400
8305,400
8377,400
8156,400
12801,500
12908,500
12776,500
12853,500
12876,500
19443,650
19267,650
19632,650
19479,650
19538,650
28695,800
29223,800
28774,800
29081,800
27889,800
43947,1000
44089,1000
42657,1000
43293,1000
44256,1000
93492,1500
98099,1500
99153,1500
104391,1500
107920,1500
