
Distancias minimas a partir do vertice 1:
Vertice	Distancia
----------------
1	0
2	16
3	11
4	15
5	19
6	13
7	19
8	14
9	14
10	17
11	15
12	13
13	18
14	13
15	16
16	19
17	15
18	15
19	6
20	17
21	17
22	14
23	13
24	23
25	13
26	15
27	12
28	17
29	23
30	19
31	13
32	15
33	12
34	14
35	17
36	13
37	14
38	17
39	17
40	15
41	14
42	11
43	16
44	20
45	15
46	16
47	12
48	16
49	17
50	16
51	14
52	15
53	16
54	13
55	17
56	13
57	14
58	16
59	15
60	11
61	19
62	14
63	10
64	17
65	14
66	13
67	11
68	15
69	12
70	14
71	11
72	12
73	18
74	16
75	13
76	19
77	17
78	12
79	16
80	17
81	16
82	10
83	16
84	6
85	15
86	16
87	11
88	15
89	11
90	14
91	15
92	19
93	16
94	18
95	15
96	18
97	5
98	17
99	14
100	13
101	9
102	25
103	16
104	18
105	5
106	15
107	9
108	15
109	14
110	17
111	16
112	15
113	13
114	20
115	16
116	20
117	15
118	14
119	16
120	15
121	13
122	16
123	10
124	14
125	18
126	13
127	16
128	13
129	16
130	22
131	14
132	13
133	23
134	14
135	16
136	19
137	15
138	13
139	14
140	10
141	19
142	16
143	10
144	13
145	16
146	16
147	12
148	14
149	15
150	16
151	18
152	21
153	13
154	13
155	18
156	14
157	12
158	15
159	13
160	17
161	16
162	15
163	18
164	12
165	16
166	14
167	13
168	9
169	12
170	16
171	12
172	15
173	11
174	14
175	12
176	14
177	16
178	20
179	11
180	19
181	18
182	13
183	18
184	8
185	15
186	18
187	12
188	16
189	19
190	17
191	13
192	16
193	22
194	17
195	9
196	14
197	15
198	14
199	12
200	14
201	21
202	11
203	16
204	15
205	15
206	10
207	11
208	12
209	17
210	17
211	17
212	15
213	15
214	18
215	17
216	14
217	24
218	15
219	15
220	11
221	16
222	18
223	16
224	17
225	15
226	20
227	18
228	13
229	18
230	17
231	9
232	17
233	12
234	13
235	13
236	15
237	15
238	10
239	17
240	16
241	17
242	9
243	15
244	11
245	12
246	10
247	21
248	13
249	15
250	15
251	19
252	13
253	13
254	13
255	15
256	12
257	10
258	16
259	15
260	13
261	18
262	8
263	20
264	11
265	12
266	16
267	14
268	17
269	16
270	16
271	12
272	15
273	17
274	13
275	13
276	12
277	15
278	17
279	14
280	15
281	16
282	17
283	15
284	15
285	14
286	17
287	18
288	11
289	9
290	16
291	16
292	15
293	18
294	13
295	18
296	7
297	11
298	18
299	13
300	10
301	15
302	18
303	15
304	11
305	9
306	13
307	11
308	14
309	21
310	14
311	16
312	13
313	19
314	17
315	13
316	16
317	16
318	6
319	18
320	15
321	17
322	14
323	16
324	14
325	14
326	9
327	11
328	10
329	9
330	19
331	10
332	17
333	9
334	9
335	13
336	11
337	16
338	16
339	12
340	14
341	12
342	18
343	16
344	15
345	14
346	11
347	13
348	6
349	14
350	19
351	15
352	17
353	10
354	12
355	15
356	15
357	11
358	16
359	15
360	13
361	17
362	19
363	8
364	13
365	15
366	18
367	16
368	11
369	12
370	15
371	17
372	17
373	16
374	17
375	12
376	15
377	16
378	12
379	22
380	13
381	13
382	20
383	15
384	9
385	9
386	15
387	16
388	15
389	17
390	17
391	15
392	11
393	15
394	20
395	15
396	10
397	14
398	13
399	13
400	11
401	15
402	15
403	14
404	14
405	14
406	14
407	14
408	16
409	18
410	19
411	14
412	15
413	16
414	16
415	14
416	12
417	18
418	14
419	12
420	15
421	17
422	17
423	12
424	17
425	14
426	14
427	14
428	5
429	10
430	16
431	17
432	12
433	14
434	13
435	15
436	17
437	17
438	15
439	17
440	12
441	15
442	12
443	17
444	21
445	15
446	11
447	14
448	13
449	14
450	13
451	19
452	13
453	15
454	17
455	16
456	11
457	17
458	11
459	16
460	14
461	18
462	8
463	15
464	15
465	10
466	18
467	14
468	15
469	16
470	23
471	18
472	12
473	15
474	13
475	15
476	13
477	15
478	12
479	17
480	12
481	17
482	15
483	12
484	12
485	15
486	17
487	14
488	12
489	19
490	13
491	17
492	14
493	13
494	13
495	13
496	11
497	14
498	17
499	12
500	16
501	13
502	16
503	16
504	16
505	16
506	16
507	15
508	17
509	19
510	15
511	14
512	16
513	18
514	19
515	18
516	14
517	14
518	7
519	16
520	18
521	16
522	13
523	15
524	15
525	14
526	13
527	18
528	19
529	14
530	12
531	16
532	13
533	8
534	13
535	16
536	19
537	11
538	4
539	17
540	17
541	14
542	21
543	12
544	13
545	18
546	12
547	14
548	10
549	19
550	14
551	12
552	13
553	12
554	15
555	12
556	14
557	10
558	17
559	13
560	10
561	15
562	18
563	10
564	18
565	10
566	17
567	16
568	14
569	14
570	14
571	17
572	14
573	14
574	15
575	17
576	16
577	18
578	14
579	15
580	15
581	11
582	19
583	17
584	18
585	16
586	17
587	12
588	9
589	16
590	15
591	16
592	16
593	17
594	18
595	14
596	8
597	14
598	13
599	16
600	13
601	17
602	17
603	13
604	16
605	16
606	17
607	16
608	18
609	15
610	20
611	24
612	13
613	22
614	16
615	13
616	10
617	13
618	10
619	14
620	15
621	12
622	14
623	11
624	19
625	13
626	11
627	16
628	15
629	21
630	14
631	17
632	14
633	6
634	9
635	16
636	7
637	12
638	17
639	16
640	15
641	17
642	15
643	17
644	19
645	12
646	13
647	4
648	14
649	14
650	11
651	11
652	14
653	16
654	13
655	16
656	14
657	10
658	14
659	18
660	19
661	15
662	14
663	12
664	12
665	13
666	13
667	17
668	12
669	15
670	12
671	13
672	16
673	19
674	13
675	11
676	13
677	13
678	13
679	16
680	14
681	13
682	15
683	15
684	18
685	12
686	13
687	13
688	21
689	15
690	18
691	14
692	14
693	14
694	13
695	15
696	14
697	13
698	14
699	19
700	15
701	17
702	20
703	16
704	13
705	14
706	13
707	14
708	13
709	14
710	15
711	14
712	9
713	18
714	13
715	18
716	14
717	12
718	11
719	11
720	10
721	13
722	2
723	14
724	17
725	22
726	11
727	16
728	15
729	16
730	16
731	15
732	20
733	16
734	17
735	14
736	3
737	14
738	16
739	15
740	12
741	15
742	10
743	15
744	16
745	15
746	15
747	17
748	18
749	20
750	12
751	14
752	14
753	21
754	10
755	18
756	10
757	11
758	16
759	13
760	10
761	12
762	12
763	6
764	16
765	13
766	14
767	17
768	8
769	19
770	11
771	15
772	13
773	12
774	11
775	15
776	12
777	12
778	19
779	13
780	14
781	14
782	12
783	18
784	15
785	15
786	8
787	12
788	19
789	14
790	22
791	20
792	17
793	16
794	13
795	16
796	15
797	14
798	16
799	13
800	13
801	14
802	17
803	16
804	17
805	7
806	11
807	13
808	18
809	11
810	17
811	18
812	17
813	15
814	16
815	15
816	9
817	12
818	16
819	14
820	13
821	14
822	12
823	12
824	15
825	15
826	12
827	11
828	13
829	17
830	11
831	13
832	14
833	16
834	17
835	15
836	19
837	15
838	15
839	16
840	15
841	17
842	19
843	9
844	18
845	16
846	24
847	16
848	15
849	17
850	16
851	15
852	15
853	13
854	14
855	16
856	16
857	17
858	13
859	9
860	17
861	13
862	19
863	10
864	14
865	11
866	14
867	13
868	18
869	12
870	13
871	10
872	17
873	10
874	14
875	14
876	13
877	9
878	15
879	14
880	13
881	15
882	18
883	19
884	13
885	8
886	20
887	15
888	14
889	13
890	9
891	18
892	15
893	16
894	14
895	10
896	15
897	13
898	14
899	12
900	8
901	12
902	7
903	16
904	16
905	19
906	9
907	13
908	20
909	11
910	21
911	15
912	15
913	9
914	11
915	13
916	16
917	10
918	16
919	18
920	12
921	19
922	16
923	12
924	16
925	14
926	14
927	19
928	16
929	15
930	14
931	12
932	14
933	12
934	17
935	21
936	14
937	17
938	17
939	14
940	5
941	12
942	12
943	15
944	21
945	15
946	15
947	21
948	17
949	11
950	18
951	22
952	17
953	17
954	17
955	13
956	14
957	14
958	15
959	18
960	16
961	14
962	12
963	13
964	10
965	17
966	19
967	16
968	7
969	17
970	22
971	15
972	13
973	16
974	14
975	14
976	12
977	10
978	12
979	15
980	16
981	17
982	17
983	15
984	14
985	15
986	15
987	14
988	22
989	14
990	18
991	13
992	15
993	15
994	12
995	13
996	13
997	11
998	16
999	12
1000	12
1001	17
1002	14
1003	13
1004	18
1005	13
1006	15
1007	17
1008	16
1009	11
1010	9
1011	16
1012	16
1013	12
1014	15
1015	18
1016	16
1017	17
1018	14
1019	15
1020	17
1021	19
1022	11
1023	15
1024	12
1025	12
1026	12
1027	14
1028	14
1029	14
1030	6
1031	15
1032	15
1033	16
1034	15
1035	17
1036	21
1037	14
1038	12
1039	12
1040	15
1041	15
1042	16
1043	13
1044	18
1045	11
1046	15
1047	14
1048	17
1049	14
1050	20
1051	11
1052	15
1053	11
1054	15
1055	17
1056	13
1057	8
1058	15
1059	17
1060	15
1061	18
1062	17
1063	18
1064	12
1065	19
1066	16
1067	15
1068	16
1069	16
1070	17
1071	12
1072	13
1073	14
1074	20
1075	22
1076	7
1077	12
1078	12
1079	14
1080	22
1081	14
1082	16
1083	17
1084	15
1085	12
1086	11
1087	13
1088	14
1089	15
1090	16
1091	12
1092	14
1093	17
1094	21
1095	15
1096	17
1097	15
1098	20
1099	14
1100	12
1101	11
1102	16
1103	13
1104	14
1105	15
1106	18
1107	17
1108	15
1109	16
1110	13
1111	20
1112	19
1113	16
1114	16
1115	15
1116	18
1117	14
1118	12
1119	12
1120	9
1121	16
1122	18
1123	12
1124	19
1125	15
1126	15
1127	15
1128	16
1129	20
1130	14
1131	14
1132	10
1133	15
1134	13
1135	14
1136	15
1137	13
1138	15
1139	12
1140	15
1141	15
1142	12
1143	15
1144	17
1145	16
1146	18
1147	16
1148	21
1149	17
1150	13
1151	10
1152	11
1153	15
1154	15
1155	13
1156	12
1157	13
1158	15
1159	16
1160	16
1161	14
1162	12
1163	17
1164	15
1165	21
1166	15
1167	10
1168	12
1169	20
1170	10
1171	14
1172	11
1173	18
1174	11
1175	14
1176	16
1177	13
1178	14
1179	13
1180	17
1181	15
1182	18
1183	17
1184	8
1185	15
1186	17
1187	14
1188	19
1189	13
1190	19
1191	15
1192	13
1193	6
1194	14
1195	20
1196	13
1197	16
1198	14
1199	11
1200	19
1201	11
1202	13
1203	17
1204	15
1205	14
1206	15
1207	17
1208	17
1209	13
1210	11
1211	14
1212	16
1213	11
1214	12
1215	14
1216	17
1217	19
1218	17
1219	19
1220	17
1221	16
1222	15
1223	14
1224	17
1225	4
1226	16
1227	16
1228	15
1229	20
1230	14
1231	14
1232	15
1233	17
1234	15
1235	17
1236	14
1237	17
1238	14
1239	11
1240	13
1241	17
1242	16
1243	15
1244	15
1245	14
1246	16
1247	16
1248	14
1249	16
